nama,kategori,harga,deskripsi
Paracetamol,1,5000,Obat penurun demam
Amoxicillin,1,10000,Antibiotik untuk infeksi
Ibuprofen,1,7500,Obat antiinflamasi non-steroid
Diazepam,1,15000,Obat penenang
Cetirizine,1,8000,Obat antihistamin untuk alergi
Loratadine,1,12000,Antihistamin untuk alergi
Omeprazole,1,20000,Obat untuk gangguan lambung
Metformin,1,30000,Obat diabetes
Losartan,1,25000,Obat penurun tekanan darah
Simvastatin,1,22000,Obat penurun kolesterol
Aspirin,1,7000,Obat pengencer darah
Salbutamol,1,10000,Obat asma
Prednisone,1,18000,Obat kortikosteroid
Acetaminophen,1,6000,Obat penghilang rasa sakit
Clindamycin,1,12000,Antibiotik untuk infeksi bakteri
Fluoxetine,1,22000,Obat antidepresan
Alprazolam,1,14000,Obat untuk kecemasan
Ciprofloxacin,1,11000,Antibiotik untuk infeksi
Loperamide,1,8000,Obat diare
Hydrocodone,1,18000,Obat penghilang rasa sakit
Lansoprazole,1,16000,Obat untuk masalah pencernaan
Atorvastatin,1,27000,Obat penurun kolesterol
Furosemide,1,19000,Obat diuretik untuk tekanan darah tinggi
Valproic Acid,1,20000,Obat untuk kejang
Azithromycin,1,15000,Antibiotik
Amiodarone,1,25000,Obat untuk masalah jantung
Metoprolol,1,22000,Obat untuk tekanan darah tinggi
Fluconazole,1,17000,Obat antifungal
Enalapril,1,21000,Obat untuk tekanan darah tinggi
Alendronate,1,23000,Obat untuk osteoporosis
Atenolol,1,15000,Obat untuk tekanan darah tinggi
Hydrochlorothiazide,1,13000,Diuretik untuk tekanan darah tinggi
Chloroquine,1,16000,Obat untuk malaria
Lisinopril,1,21000,Obat untuk tekanan darah tinggi
Valium,1,20000,Obat penenang
Chlorpheniramine,1,11000,Antihistamin untuk alergi
Ranitidine,1,13000,Obat untuk maag
Propranolol,1,14000,Obat untuk tekanan darah tinggi
Buspirone,1,17000,Obat untuk kecemasan
Theophylline,1,19000,Obat asma
Diphenhydramine,1,8000,Obat antihistamin untuk alergi
Codeine,1,25000,Obat penghilang rasa sakit
Quetiapine,1,30000,Obat antipsikotik
Verapamil,1,21000,Obat untuk jantung
Zolpidem,1,13000,Obat tidur
Tramadol,1,20000,Obat penghilang rasa sakit
Prozac,1,22000,Obat antidepresan
